       mw          cp           t         gam
   1.4314E+01  2.3397E+01  2.6411E+01  5.2472E+00
   1.4279E+01  2.3482E+01  2.6748E+01  5.0599E+00
   1.4617E+01  2.3403E+01  2.6560E+01  4.8534E+00
   1.4570E+01  2.3485E+01  2.6889E+01  4.6799E+00
   1.4815E+01  2.3407E+01  2.6647E+01  4.6409E+00
   1.4761E+01  2.3487E+01  2.6971E+01  4.4745E+00
   1.4966E+01  2.3412E+01  2.6709E+01  4.4977E+00
   1.4906E+01  2.3490E+01  2.7028E+01  4.3360E+00
   1.5088E+01  2.3416E+01  2.6757E+01  4.3908E+00
   1.5023E+01  2.3491E+01  2.7073E+01  4.2324E+00
   1.5192E+01  2.3419E+01  2.6796E+01  4.3060E+00
   1.5122E+01  2.3493E+01  2.7109E+01  4.1502E+00
   1.5282E+01  2.3423E+01  2.6829E+01  4.2362E+00
   1.5208E+01  2.3495E+01  2.7139E+01  4.0824E+00
   1.5362E+01  2.3426E+01  2.6857E+01  4.1769E+00
   1.5285E+01  2.3496E+01  2.7166E+01  4.0249E+00
   1.5434E+01  2.3428E+01  2.6882E+01  4.1256E+00
   1.5354E+01  2.3498E+01  2.7189E+01  3.9751E+00
   1.5500E+01  2.3431E+01  2.6905E+01  4.0805E+00
   1.5416E+01  2.3499E+01  2.7209E+01  3.9312E+00
   1.5560E+01  2.3623E+01  2.6925E+01  4.0404E+00
   1.5473E+01  2.3830E+01  2.7228E+01  3.8922E+00
   1.5615E+01  2.3710E+01  2.6943E+01  4.0042E+00
   1.5526E+01  2.3892E+01  2.7245E+01  3.8570E+00
   1.5667E+01  2.3757E+01  2.6960E+01  3.9713E+00
   1.5576E+01  2.3924E+01  2.7260E+01  3.8250E+00
   1.5715E+01  2.3789E+01  2.6976E+01  3.9412E+00
   1.5622E+01  2.3944E+01  2.7275E+01  3.7957E+00
   1.5761E+01  2.3812E+01  2.6990E+01  3.9135E+00
   1.5665E+01  2.3958E+01  2.7288E+01  3.7687E+00
   1.5803E+01  2.3830E+01  2.7004E+01  3.8878E+00
   1.5706E+01  2.3970E+01  2.7300E+01  3.7437E+00
   1.5844E+01  2.3845E+01  2.7017E+01  3.8640E+00
   1.5745E+01  2.3978E+01  2.7312E+01  3.7204E+00
   1.5883E+01  2.3857E+01  2.7029E+01  3.8417E+00
   1.5781E+01  2.3986E+01  2.7323E+01  3.6987E+00
   1.5919E+01  2.3868E+01  2.7040E+01  3.8207E+00
   1.5816E+01  2.3992E+01  2.7333E+01  3.6783E+00
   1.5954E+01  2.3877E+01  2.7051E+01  3.8010E+00
   1.5850E+01  2.3997E+01  2.7343E+01  3.6591E+00
   1.5168E+01  2.3885E+01  2.5466E+00  3.0348E+03
   1.5159E+01  2.4002E+01  2.1904E+00  2.7701E+03
   1.5416E+01  2.3892E+01  2.5204E+00  3.0385E+03
   1.5398E+01  2.4006E+01  2.1742E+00  2.7717E+03
   1.5585E+01  2.3899E+01  2.4970E+00  3.0418E+03
   1.5560E+01  2.4010E+01  2.1598E+00  2.7732E+03
   1.5717E+01  2.3905E+01  2.4759E+00  3.0448E+03
   1.5686E+01  2.4013E+01  2.1469E+00  2.7745E+03
   1.5825E+01  2.3910E+01  2.4567E+00  3.0475E+03
   1.5790E+01  2.4016E+01  2.1352E+00  2.7757E+03
   1.5919E+01  2.3915E+01  2.4391E+00  3.0500E+03
   1.5879E+01  2.4019E+01  2.1246E+00  2.7768E+03
   1.6000E+01  2.3920E+01  2.4230E+00  3.0524E+03
   1.5957E+01  2.4021E+01  2.1149E+00  2.7778E+03
   1.6073E+01  2.3924E+01  2.4080E+00  3.0545E+03
